City,Price
Muktsar,87.57 ₹/L
Mulugu,95.53 ₹/L
Mumbai City,90.03 ₹/L
Mungeli,94.25 ₹/L
Munger,92.37 ₹/L
Murshidabad,92.67 ₹/L
Muzaffarnagar,87.97 ₹/L
Muzaffarpur,92.39 ₹/L
Mysore,90.59 ₹/L
Nabarangapur,94.20 ₹/L
Nadia,93.33 ₹/L
Nagaon,90.37 ₹/L
Nagapattinam,93.94 ₹/L
Nagarkurnool,96.88 ₹/L
Nagaur,90.85 ₹/L
Nagpur,90.98 ₹/L
Nainital,88.26 ₹/L
Nalanda,92.15 ₹/L
Nalbari,90.06 ₹/L
Nalgonda,95.43 ₹/L
Namakkal,93.27 ₹/L
Namsai,82.20 ₹/L
Nanded,92.03 ₹/L
Nandurbar,91.48 ₹/L
Narayanpet,96.83 ₹/L
Narmada,90.94 ₹/L
Narsimhapur,92.34 ₹/L
Nashik,91.27 ₹/L
Navsari,90.62 ₹/L
Nawada,92.28 ₹/L
Nayagarh,93.04 ₹/L
Neemach,93.06 ₹/L
Nellore,97.82 ₹/L
New Delhi,87.67 ₹/L
Nicobar,78.05 ₹/L
Nilgiris,94.45 ₹/L
Nirmal,97.10 ₹/L
Nizamabad,97.10 ₹/L
Noney,86.00 ₹/L
North 24 Parganas,92.55 ₹/L
North And Middle Andaman,78.05 ₹/L
North Delhi,87.67 ₹/L
North District,89.05 ₹/L
North East Delhi,87.67 ₹/L
North Garo Hills,86.49 ₹/L
North Goa,89.03 ₹/L
North Tripura,85.26 ₹/L
North West Delhi,87.67 ₹/L
Nuaparha,94.20 ₹/L
Osmanabad,91.89 ₹/L
Pakur,93.45 ₹/L
Palakkad,95.50 ₹/L
Palamau,94.27 ₹/L
Palghar,90.73 ₹/L
Pali,90.84 ₹/L
Palwal,88.36 ₹/L
Panch Mahal,90.21 ₹/L
Panchkula,88.73 ₹/L
Panipat,87.59 ₹/L
Panna,93.32 ₹/L
Papumpare,80.53 ₹/L
Parbhani,92.03 ₹/L
Paschim Bardhaman,91.86 ₹/L
Paschim Medinipur,92.58 ₹/L
Patan,90.38 ₹/L
Pathananthitta,95.50 ₹/L
Pathankot,88.40 ₹/L
Patiala,87.55 ₹/L
Patna,91.82 ₹/L
Pauri,88.43 ₹/L
Peddapalli,96.10 ₹/L
Perambalur,93.58 ₹/L
Peren,88.33 ₹/L
Phek,89.89 ₹/L
Pherzawl,87.18 ₹/L
Pilibhit,88.35 ₹/L
Pithoragarh,89.62 ₹/L
Pondicherry,86.53 ₹/L
Poonch,85.44 ₹/L
Porbander,90.51 ₹/L
Prakasam,97.44 ₹/L
Pratapgarh,90.69 ₹/L
Pudukkottai,93.16 ₹/L
Pulwama,85.43 ₹/L
Pune,90.57 ₹/L
Purba Bardhaman,92.44 ₹/L
Purba Medinipur,91.33 ₹/L
Puri,93.08 ₹/L
Purnia,93.20 ₹/L
Purulia,92.78 ₹/L
Rae Bareli,88.37 ₹/L
Raichur,91.00 ₹/L
Raigarh,93.96 ₹/L
Raipur,93.39 ₹/L
Raisen,92.12 ₹/L
Rajanna Sircilla,96.42 ₹/L
Rajgarh,92.01 ₹/L
Rajkot,89.94 ₹/L
Rajnandgaon,94.38 ₹/L
Rajouri,84.80 ₹/L
Rajsamand,90.93 ₹/L
Ramanagara,91.11 ₹/L
Ramanathapuram,93.90 ₹/L
Ramban,85.51 ₹/L
Ramgarh,93.18 ₹/L
Rampur,88.40 ₹/L
Ranchi,92.62 ₹/L
Rangareddi,96.05 ₹/L
Ratlam,92.01 ₹/L
Ratnagiri,92.03 ₹/L
