City,Price,Latitude,Longitude,Distance_from_Toranagallu_km
Jayashankar Bhupalpa,95.38 ₹/L,18.19678,79.93976,
Jhajjar,88.13 ₹/L,28.606655,76.658108,
Jhalawar,91.29 ₹/L,24.593534,76.164084,
Jhansi,88.16 ₹/L,25.451243,78.569061,
Jhargram,92.77 ₹/L,22.445207,86.99632,
Jharsuguda,92.82 ₹/L,21.863114,84.018716,
Jhunjhunun,91.57 ₹/L,28.127149,75.40129,
Jind,87.92 ₹/L,29.313754,76.320038,
Jiribam,87.06 ₹/L,22.687581,79.370366,
Jodhpur,89.95 ₹/L,26.261398,73.023376,
Jogulamba Gadwal,97.10 ₹/L,16.23401,77.80564,
Jorhat,89.85 ₹/L,26.760386,94.21169,
Junagadh,91.21 ₹/L,21.522277,70.459347,
Kaimur,92.89 ₹/L,25.026223,83.577876,
Kaithal,87.71 ₹/L,29.804366,76.403881,
Kakching,85.50 ₹/L,24.4982,93.98126,
Kalahandi,94.19 ₹/L,19.868603,83.099625,
Kalimpong,91.96 ₹/L,27.072001,88.473794,
Kamareddy,96.67 ₹/L,22.687581,79.370366,
Kamrup,89.44 ₹/L,26.000519,91.289131,
Kamrup Metro,89.42 ₹/L,26.000519,91.289131,
Kanchipuram,93.25 ₹/L,12.829664,79.703966,
Kandhamal,94.20 ₹/L,20.211774,84.101021,
Kangpokpi,85.56 ₹/L,25.15273,93.97167,
Kangra,86.62 ₹/L,32.101564,76.273209,
Kanker,94.83 ₹/L,20.27224,81.49202,
Kanniyakumari,93.37 ₹/L,8.084281,77.549601,
Kannuaj,88.51 ₹/L,22.687581,79.370366,
Kannur,94.90 ₹/L,11.874017,75.371861,
Kanpur Rural,87.77 ₹/L,26.428104,80.344496,
Kanpur Urban,87.78 ₹/L,26.428104,80.344496,
Kapurthala,87.31 ₹/L,31.380141,75.385053,
Karaikal,86.27 ₹/L,10.921629,79.8331,
Karauli,91.12 ₹/L,26.504851,77.026757,
Karbi Anglong,89.61 ₹/L,26.185004,93.461863,
Karim Nagar,95.67 ₹/L,22.687581,79.370366,
Karimganj,90.44 ₹/L,24.869284,92.361324,
Karnal,87.82 ₹/L,29.685635,76.988727,
Karur,93.28 ₹/L,10.959454,78.076175,
Kasaragod,95.58 ₹/L,12.503647,74.992766,
Kashi Ram Nagar,88.12 ₹/L,27.42397,77.09922,
Kathua,83.99 ₹/L,32.374238,75.523251,
Katihar,93.15 ₹/L,25.539208,87.575286,
Katni,92.88 ₹/L,23.840545,80.419499,
Kaushambi,88.21 ₹/L,25.37841,81.5113,
Kawardha,94.53 ₹/L,22.006123,81.232427,
Kendrapara,92.59 ₹/L,20.50166,86.42227,
Keonjhar,94.20 ₹/L,21.513483,85.664323,
Khagaria,91.68 ₹/L,25.51049,86.47627,
Khammam,96.83 ₹/L,17.251471,80.142864,
Khandwa,93.08 ₹/L,21.823005,76.346067,
Khargone,93.33 ₹/L,21.825874,75.614115,
Kheda,90.64 ₹/L,22.75218,72.68533,
Khordha,92.74 ₹/L,20.173848,85.61431,
Khowai,86.42 ₹/L,24.07964,91.59972,
Khunti,92.69 ₹/L,23.075592,85.278704,
Kinnaur,87.48 ₹/L,31.623249,78.414692,
Kiphere,89.92 ₹/L,,,
Kishanganj,93.19 ₹/L,26.273788,87.854003,
Kishtwar,85.47 ₹/L,33.31346,75.76726,
Kodagu,92.04 ₹/L,12.328477,75.729208,
Koderma,93.41 ₹/L,24.46802,85.59343,
Kohima,88.59 ₹/L,25.673798,94.10857,
Kokrajhar,89.60 ₹/L,26.401006,90.268801,
Kolar,90.86 ₹/L,13.132222,78.126571,
Kolasib,86.65 ₹/L,24.22388,92.67869,
Kolhapur,90.99 ₹/L,16.692209,74.242894,
Kolkata,92.02 ₹/L,22.51829,88.362951,
Kollam,95.79 ₹/L,8.887079,76.590755,
Komram Bheem Asifaba,97.07 ₹/L,22.687581,79.370366,
Kondagaon,94.76 ₹/L,19.59083,81.664,
Koppal,91.88 ₹/L,15.348642,76.153526,
Koraput,94.19 ₹/L,18.813506,82.712344,
Korba,93.33 ₹/L,22.360236,82.710571,
Koria,94.06 ₹/L,25.85732,84.77255,
Kota,89.78 ₹/L,25.170214,75.843288,
Kottayam,94.86 ₹/L,9.592412,76.522677,
Kozhikode,94.86 ₹/L,11.256568,75.778614,
Krishna,97.83 ₹/L,16.181021,81.130524,
Krishnagiri,94.25 ₹/L,23.40419,88.49186,
Kulgam,85.47 ₹/L,33.64462,75.0187,
Kullu,87.16 ₹/L,31.95845,77.10925,
Kupwara,87.68 ₹/L,34.03056,74.26417,
Kurnool,97.72 ₹/L,15.824896,78.020996,
Kurukshetra,88.24 ₹/L,30.072496,76.810155,
Kushinagar,88.01 ₹/L,26.741164,83.904476,
Kutch,89.99 ₹/L,23.516069,69.619009,
Lahul Spiti,87.07 ₹/L,32.550301,77.615252,
Lakhimpur,91.20 ₹/L,27.946168,80.778643,
Lalitpur,88.51 ₹/L,24.692493,78.418796,
Latehar,93.85 ₹/L,23.74395,84.499,
Latur,91.68 ₹/L,18.398805,76.5637,
Lawngtlai,88.59 ₹/L,22.53254,92.89902,
Lohardaga,93.50 ₹/L,23.429159,84.681892,
Lohit,82.20 ₹/L,27.836392,96.202308,
Longding,82.08 ₹/L,22.687581,79.370366,
Longleng,89.92 ₹/L,26.48989,94.81772,
Lower Dibang Valley,82.21 ₹/L,28.235998,95.796495,
Lower Subansiri,81.30 ₹/L,27.622066,93.967625,
Luckeesarai,92.26 ₹/L,25.1765,86.0947,
Lucknow,87.81 ₹/L,26.85579,80.939247,
Ludhiana,87.87 ₹/L,30.893914,75.84022,
Lunglei,88.58 ₹/L,22.892065,92.744767,
Madhepura,92.44 ₹/L,25.975286,86.875068,
Madhubani,92.75 ₹/L,26.356846,86.071033,
Madurai,92.98 ₹/L,9.929112,78.128938,
Mahabubabad,95.60 ₹/L,22.687581,79.370366,
Maharajganj,88.64 ₹/L,27.14136,83.56524,
Mahasamund,94.41 ₹/L,21.112886,82.095731,
Mahe,83.90 ₹/L,11.702507,75.534485,
Mahendragarh,87.98 ₹/L,28.26935,76.15253,
Mahisagar,90.62 ₹/L,22.687581,79.370366,
Mahoba,88.88 ₹/L,25.291369,79.878658,
Mainpuri,88.23 ₹/L,27.228178,79.025236,
Majuli,91.33 ₹/L,26.95,94.16667,
Malappuram,94.93 ₹/L,11.041839,76.079996,
Malda,92.03 ₹/L,25.08652,88.068489,
Malkangiri,94.19 ₹/L,18.36423,81.88728,
Mamit,87.76 ₹/L,23.92703,92.48968,
Mancherial,96.66 ₹/L,18.87131,79.444452,
Mandi,86.46 ₹/L,31.708089,76.931217,
Mandla,93.65 ₹/L,22.59974,80.37108,
Mandsaur,92.65 ₹/L,24.069862,75.073318,
Mandya,90.91 ₹/L,12.521797,76.895078,
Mansa,87.50 ₹/L,29.992558,75.397878,
Mathura,87.21 ₹/L,27.490199,77.677466,
Maunathbhanjan,88.70 ₹/L,,,
Mayurbhanj,93.29 ₹/L,21.892722,86.411301,
Medak,96.20 ₹/L,18.046015,78.263339,
Medchal Malkajgiri,95.70 ₹/L,17.60644,78.54007,
Meerut,87.67 ₹/L,28.981529,77.717985,
Mehabubnagar,96.20 ₹/L,22.687581,79.370366,
Mehsana,90.31 ₹/L,23.606065,72.381458,
Mewat,88.15 ₹/L,27.962586,77.006418,
Mirzapur,87.98 ₹/L,25.146749,82.569347,
Moga,88.05 ₹/L,30.823078,75.173423,
Mokokchung,89.61 ₹/L,26.324,94.521216,
Mon,89.56 ₹/L,26.73583,95.05841,
Moradabad,88.06 ₹/L,28.835952,78.762873,
Morbi,90.74 ₹/L,22.812746,70.828635,
Morena,92.05 ₹/L,26.50286,78.00163,
Morigaon,90.18 ₹/L,26.37957,92.34146,
Muktsar,87.57 ₹/L,30.473634,74.518373,
Mulugu,95.53 ₹/L,22.687581,79.370366,
